Artista,Cancion,Album,Genero,Letra,letra_procesada
José José,Amar y Querer,"Serie Platino 20 Exitos: José José, Vol. 2",Pop Latino,"Casi todos sabemos querer
Pero pocos sabemos amar
Y es que amar y querer no es igual
Amar es sufrir, querer es gozar

El que ama pretende servir
El que ama su vida la da
Y el que quiere pretende vivir
Y nunca sufrir, y nunca sufrir

El que ama no puede pensar
Todo lo da, todo lo da
El que quiere pretende olvidar
Y nunca llorar y nunca llorar

El querer pronto puede acabar
El amor no conoce el final
Es que todos sabemos querer
Pero pocos sabemos amar
Casi todos sabemos querer
Pero pocos sabemos amar
Y es que amar y querer no es igual
Amar es sufrir, querer es gozar

El que ama pretende servir
El que ama su vida la da
Y el que quiere pretende vivir
Y nunca sufrir, y nunca sufrir

El que ama no puede pensar
Todo lo da, todo lo da
El que quiere pretende olvidar
Y nunca llorar y nunca llorar

El querer pronto puede acabar
El amor no conoce el final
Es que todos sabemos querer
Pero pocos sabemos amarEl amar es la cielo y la luz
El amar es total plenitud
Es el mar que no tiene final
Es la gloria y la paz, es la gloria y la paz

El querer es la carne y la flor

Es buscar el obscuro rincón
Es morder, arañar y besar
Es deseo fugaz, es deseo fugaz

El que ama no puede pensar
Todo lo da, todo lo da
El que quiere pretende olvidar
Y nunca llorar y nunca llorar

El querer pronto puede acabar
El amor no conoce el final
Es que todos sabemos querer
Pero pocos sabemos amar

El que ama no puede pensar
Todo lo da, todo lo da
El que quiere pretende olvidar
Y nunca llorar y nunca llorar

El querer pronto puede acabar
El amor no conoce el final
Es que todos sabemos querer
Pero pocos sabemos amar",casi sabemos querer pocos sabemos amar amar querer igual amar sufrir querer gozar ama pretende servir ama vida quiere pretende vivir sufrir sufrir ama pensar quiere pretende olvidar llorar llorar querer pronto acabar amor conoce final sabemos querer pocos sabemos amar casi sabemos querer pocos sabemos amar amar querer igual amar sufrir querer gozar ama pretende servir ama vida quiere pretende vivir sufrir sufrir ama pensar quiere pretende olvidar llorar llorar querer pronto acabar amor conoce final sabemos querer pocos sabemos amarel amar cielo luz amar total plenitud mar final gloria paz gloria paz querer carne flor buscar obscuro rincón morder arañar besar deseo fugaz deseo fugaz ama pensar quiere pretende olvidar llorar llorar querer pronto acabar amor conoce final sabemos querer pocos sabemos amar ama pensar quiere pretende olvidar llorar llorar querer pronto acabar amor conoce final sabemos querer pocos sabemos amar
José José,El Triste,"Serie Platino 20 Exitos: José José, Vol. 2",Pop Latino,"Que triste fue decirnos adiós
cuando nos adorábamos más
hasta la golondrina emigró
presagiando el final

Que triste luce todo sin ti
los mares de las playas se van
se tiñen los colores de gris
hoy todo es soledad

No se si vuelva a verte después
no se que de mi vida será
sin el lucero azul de tú ser
que no me alumbra ya

Hoy quiero saborear mi dolor
no pido compasión ni piedad
la historia de este amor se escribió
para la eternidad

El triste todos dicen que soy
que siempre estoy hablando de ti
no saben que pensando en tú amor
en tú amor he podido ayudarme a vivir
he podido ayudarme a vivir

Hoy quiero saborear mi dolor
no pido compasión ni piedad
la historia de este amor se escribió
para la eternidad

El triste todos dicen que soy
que siempre estoy hablando de ti
no saben que pensando en tu amor
en tu amor he podido ayudareme a vivir
he podido ayudarme vivir",triste decirnos adiós adorábamos golondrina emigró presagiando final triste luce mares playas van tiñen colores gris hoy soledad vuelva verte vida será lucero azul alumbra hoy saborear dolor pido compasión piedad historia amor escribió eternidad triste dicen soy hablando saben pensando amor amor podido ayudarme vivir podido ayudarme vivir hoy saborear dolor pido compasión piedad historia amor escribió eternidad triste dicen soy hablando saben pensando amor amor podido ayudareme vivir podido ayudarme vivir
José José,Lo Dudo,Secretos,Pop Latino,"Anda y ve, te esta esperando,
Anda y ve, no lo hagas por mí,
que al fin y al cabo, somos solo amigos...

Anda y ve, te veo nerviosa,
Anda y ve y que sientas con él,
lo que en su día tu sentías conmigo...

Pero lo dudo, conmigo te mecías en el aire,
volabas en caballo blanco el mundo,
y aquellas cosas no podrán volver...
y es que lo dudo porque hasta veces
me has llorado con un beso...
llorando de alegría y no de miedo,
y dudo, que te pase igual con él, igual con él...

Anda y ve, te esta esperando,
Anda y ve, no lo hagas por mi,
que al fin y al cabo, somos solo amigos...

Pero lo dudo, conmigo te mecías en el aire,
volabas en caballo blanco el mundo,
y aquellas cosas no podrán volver...
y es que lo dudo porque hasta veces
me has llorado con un beso...
llorando de alegría y no de miedo,
y dudo, que te pase igual con él, igual con él...

(Gracias a Cecilia por esta letra)",anda esperando anda hagas fin cabo somos amigos anda veo nerviosa anda sientas día sentías conmigo dudo conmigo mecías aire volabas caballo blanco mundo aquellas cosas podrán volver dudo veces llorado beso llorando alegría miedo dudo pase igual igual anda esperando anda hagas fin cabo somos amigos dudo conmigo mecías aire volabas caballo blanco mundo aquellas cosas podrán volver dudo veces llorado beso llorando alegría miedo dudo pase igual igual gracias cecilia letra
José José,Almohada,El Príncipe de la Canción,Baladas y Boleros,"Amor como el nuestro no hay dos en la vida
Por más que se busque, por más que se esconda
Tu duermes conmigo toditas las noches
Te quedas callada sin ningún reproche
Por eso te quiero, por eso te adoro, eres en mi vida todo mi tesoro

A veces regreso borracho de angustia
Te lleno de besos y caricias mustias
Pero estás dormida, no sientes caricias
Te abrazo a mi pecho, me duermo contigo
Más luego despierto, tu no estás conmigo
Sólo está mi almohada

A veces te miro, callada y ausente
Y sufro en silencio como tanta gente
Quisiera gritarte que vuelvas conmigo
Que si aún estoy vivo sólo es para amarte
Pero todo pasa
Y a los sufrimientos como a las palabras, se las lleva el viento

Por eso regreso borracho de angustia
Te lleno te besos y caricias mustias
Pero estás dormida, no sientes caricias
Te abrazo a mi pecho, me duermo contigo
Más luego despierto, tu no estás conmigo
Sólo está mi almohada",amor nuestro dos vida busque esconda duermes conmigo toditas noches quedas callada ningún reproche eso eso adoro vida tesoro veces regreso borracho angustia lleno besos caricias mustias dormida sientes caricias abrazo pecho duermo contigo luego despierto conmigo sólo almohada veces miro callada ausente sufro silencio tanta gente quisiera gritarte vuelvas conmigo aún vivo sólo amarte pasa sufrimientos palabras lleva viento eso regreso borracho angustia lleno besos caricias mustias dormida sientes caricias abrazo pecho duermo contigo luego despierto conmigo sólo almohada
José José,Gavilán o Paloma,Reencuentro,Pop Latino,"No dejabas de mirar estabas sola.
completamente bella y sensual.
algo me arrastro hacia ti como una ola.
y fui y te dije hola que tal.
Esa noche entre tus brazos caí en la trampa.
cazaste al aprendiz de seductor.
y me diste de comer sobre tu palma,
haciéndome tu humilde servidor.
(coro)
amiga, hay que ver como es el amor.
que vuela a quien lo toma,
gavilán o paloma.
pobre tonto, ingenuo charlatán.
que fui paloma por querer ser gavilán.
amiga, hay que ver como es el amor.
que vuela a quien lo toma,
gavilán o paloma.
Fui bajando lentamente tu vestido.
y tu no me dejaste ni hablar.
solamente suspirabas te necesito.
abrázame mas fuerte, mas.
Al mirarte me sentí desengañado.
solo me dio frió tu calor.
lentamente te solté de entre mis brazos.
y dije estate quieta por favor.
(coro)",dejabas mirar estabas sola completamente bella sensual arrastro ola fui dije hola tal noche brazos caí trampa cazaste aprendiz seductor diste comer palma haciéndome humilde servidor coro amiga ver amor vuela quien toma gavilán paloma pobre tonto ingenuo charlatán fui paloma querer gavilán amiga ver amor vuela quien toma gavilán paloma fui bajando lentamente vestido dejaste hablar solamente suspirabas necesito abrázame mas fuerte mas mirarte sentí desengañado dio frió calor lentamente solté brazos dije estate quieta favor coro
José José,La Nave del Olvido,"Serie Platino 20 Exitos: José José, Vol. 2",Pop Latino,"Espera,
aún la nave del olvido no ha partido
no condenemos al naufragio lo vivido
por nuestro ayer,
por nuestro amor, yo te lo pido.

Espera,
aún me quedan en mis manos primaveras
para colmarte de caricias todas nuevas
que morirían en mis manos si te fueras.

Espera un poco, un poquito más
para llevarte mi felicidad
espera un poco, un poquito más
me moriría si te vas.

Espera un poco, un poquito más
para llevarte mi felicidad
espera un poco, un poquito más
me moriría si te vas.

Espera,
aún me quedan alegrías para darte,
tengo mil noches de amor que regalarte,
te doy mi vida a cambio de quedarte.

Espera,
no entendería mi mañana si te fueras
y hasta te admito que tu amor me lo mintieras,
te adoraría aunque tú no me quisieras.
Espera un poco...",espera aún nave olvido partido condenemos naufragio vivido nuestro ayer nuestro amor pido espera aún quedan manos primaveras colmarte caricias nuevas morirían manos fueras espera poquito llevarte felicidad espera poquito moriría vas espera poquito llevarte felicidad espera poquito moriría vas espera aún quedan alegrías darte mil noches amor regalarte doy vida cambio quedarte espera entendería mañana fueras admito amor mintieras adoraría quisieras espera
José José,Quiero Perderme Contigo,Secretos,Pop Latino,"Me da coraje verte
igual que un simple amigo
y hablar de lo preciso
delante de la gente

Me da coraje verte
despus de una maana
de loco amor sin pausa
y hacer que no nos vimos

Me pongo como un loco
y se me va la vida
al ver que te acarician
delante de mis ojos
tenerme que callarme
decirte hasta maana
pensar que alli en la cama
disfrutaras sin mi

Quiero perderme contigo
como se pierde el horizonte
como las aves en la noche
como la estrella y los sonidos
y jamas separarnos jamas
para nunca jamas

Quiero perderme contigo
y verte junto a mi al despertar

Me da coraje verte
igual que un simple amigo
y hablar de lo preciso delante de la gente

Me da coraje verte
despus de una maana
de loco amor sin pausa
y hacer que no nos vimos

Me pongo como un loco
y se me va la vida
al ver que te acarician
delante de mis ojos
tenerme que callarme
decirte hasta maana
pensar que alli en la cama
disfrutaras sin mi

Quiero perderme contigo
como se pierde el horizonte
como las aves en la noche
como la estrella y los sonidos
y jamas separarnos jamas
para nunca jamas

Quiero perderme contigo
como se pierde el horizonte
como las aves en la noche
como la estrella y los sonidos
y jamas separarnos jamas
para nunca jamas

(Thanks to neto for these lyrics)",coraje verte igual simple amigo hablar preciso delante gente coraje verte despus maana loco amor pausa hacer vimos pongo loco vida ver acarician delante ojos tenerme callarme decirte maana pensar alli cama disfrutaras perderme contigo pierde horizonte aves noche estrella sonidos jamas separarnos jamas jamas perderme contigo verte junto despertar coraje verte igual simple amigo hablar preciso delante gente coraje verte despus maana loco amor pausa hacer vimos pongo loco vida ver acarician delante ojos tenerme callarme decirte maana pensar alli cama disfrutaras perderme contigo pierde horizonte aves noche estrella sonidos jamas separarnos jamas jamas perderme contigo pierde horizonte aves noche estrella sonidos jamas separarnos jamas jamas thanks neto lyrics
José José,40 y 20,40 y 20,Pop Latino,"Mentiras son todas mentiras
cosas que dice la gente,
decir que este amor es prohibido
que tengo cuarenta y tu veinte.
Que yo soy otono en tu vida
y tu eres dulce primavera,
no saben que guardo un verano
que cuando te miro te quema.

Cuarenta y veinte,
cuarenta y veinte,
es el amor lo que importa y no
lo que diga la gente.

cuarenta y veinte,
cuarenta y veinte,
toma mi mano, camina conmigo,
mirando de frente.

No importa que a mi no me entiendan
y que por lo bajo comenten
que existe una gran diferencia,
que tengo cuarenta y tu veinte.
Que yo tengo muchas vivencias
y tu tienes tanta inocencia,
no saben que nuestro secreto
es tu juventud y mi experiencia.

Cuarenta y veinte..",mentiras mentiras cosas dice gente decir amor prohibido cuarenta veinte soy otono vida dulce primavera saben guardo verano miro quema cuarenta veinte cuarenta veinte amor importa diga gente cuarenta veinte cuarenta veinte toma mano camina conmigo mirando frente importa entiendan bajo comenten existe gran diferencia cuarenta veinte muchas vivencias tienes tanta inocencia saben nuestro secreto juventud experiencia cuarenta veinte
José José,Lo Que No Fue No Sera,"25 Aniversario, Vol. 1",Pop Latino,"En tus manos yo aprendí a beber agua
fui gorrión que se quedo preso en tu jaula
porque yo corte mis alas
y el alpiste que me dabas
fue tan poco y sin embargo yo te amaba
fue mi canto para ti siempre completo
sin ti no pude volar en otro cielo
pero me dejaste solo
confundido y olvidado
y otra mano me ofreció el fruto anhelado

lo que un día fue no sera
ya no vuelvas a buscarme
no tengo nada que darte
de tu alpiste me canse
vete a volar a otro cielo
y deja abierta tu jaula
tan vez otro gorrión caiga
pero dale de beber

déjame encender la luz no quiero nada
si esto hubiera sido ayer lo tomaría
la primera vez que ofreces
para que yo aquí me quede
pero sin amarte ya que ganaría

lo que un día fue no sera
ya no vuelvas a buscarme
no tengo nada que darte
de tu alpiste me canse
vete a volar a otro cielo
y deja abierta tu jaula
tal vez otro gorrión caiga
pero dale de beber",manos aprendí beber agua fui gorrión quedo preso jaula corte alas alpiste dabas embargo amaba canto completo pude volar cielo dejaste confundido olvidado mano ofreció fruto anhelado día sera vuelvas buscarme darte alpiste canse vete volar cielo deja abierta jaula gorrión caiga dale beber déjame encender luz hubiera sido ayer tomaría primera ofreces quede amarte ganaría día sera vuelvas buscarme darte alpiste canse vete volar cielo deja abierta jaula tal gorrión caiga dale beber
José José,He Renunciado a Ti,Secretos,Pop Latino,"He renunciado a ti, definitivamente
he renunciado a ti, y esta vez para siempre...
Te habrás fijado
que no te busco,
que pasa el tiempo y no voy por tu casa,
que no me ves, por los sitios que pasas,
he renunciado a ti...
He renunciado a ti.

Porque es pura fantasía nuestro amor,
ilusiones que se forjan con el tiempo,
porque es tanta la distancia entre los dos,
que es difícil que podamos entendernos...

He renunciado a ti,
como hace el mendigo
ante el juguete caro,
que llevaría a su hijo
como las aves,
a las estrellas,
como renuncia a ser flor lo que es hierba,
y cualquier hombre a volver a ser niño,
he renunciado a ti...
He renunciado a ti.

Porque es pura fantasía nuestro amor,
ilusiones que se forjan con el tiempo,
porque es tanta la distancia entre los dos,
que es difícil que podamos entendernos...",renunciado definitivamente renunciado habrás fijado busco pasa tiempo voy casa ves sitios pasas renunciado renunciado pura fantasía nuestro amor ilusiones forjan tiempo tanta distancia dos difícil podamos entendernos renunciado hace mendigo ante juguete caro llevaría hijo aves estrellas renuncia flor hierba cualquier hombre volver niño renunciado renunciado pura fantasía nuestro amor ilusiones forjan tiempo tanta distancia dos difícil podamos entendernos
